t_1,t_2
49.4193931651,74.6032650952
4.40263186551,27.3226191396
38.8332081207,48.8166548651
1.74796038479,77.2321275688
29.2931128037,93.3906450982
42.0378119049,70.7214213159
42.8613619418,136.020427505
14.9350868229,19.9559355698
50.84184312,54.7732771442
21.6373551615,26.1660045496
4.78980893258,21.0650619381
32.7668383521,49.6518026013
89.173127249,112.196946949
142.19872004,149.074114427
27.6360780939,51.9442693262
7.22408864759,19.4225989536
26.1362707413,NA
2.01366696464,85.3823454088
2.6326430889,12.2864855471
50.7613720907,NA
28.3688016958,52.2479038261
29.3498295947,36.3208243585
6.56225758614,80.4039390471
28.4983601557,93.2193940102
31.3307537382,89.9669426414
33.091638407,35.4874650932
46.9714777206,345.134166048
6.54907666302,15.8052652539
41.4120741039,61.8813693876
1.84495562921,35.3207396849
25.4853708423,NA
33.3943171367,54.0637087403
35.7705097519,58.3305359742
104.491150309,222.724738225
94.1780992622,112.842986817
33.5891977178,34.0673364006
18.5755812916,27.7873675092
5.02509086464,46.0155656974
29.7779733269,53.3627744267
22.6673864278,NA
40.9236286818,NA
48.2266138791,69.011690213
81.9144310769,89.2307018679
17.295911169,89.3369681696
31.1126055166,74.3223883341
9.57146309889,17.3352317297
61.4688798304,115.126317999
41.1288746989,62.7185071712
18.8885162194,22.7652654449
3.37215941188,86.1945907117
4.17852797707,93.3307428194
39.621830377,40.4362091774
20.0478354963,38.8144734168
342.828440389,NA
40.4097649225,NA
6.05401027142,113.818410805
40.4636874468,NA
9.72257527687,27.1339766217
96.7909603857,NA
45.2440635781,66.495792652
29.9820104485,71.6640529665
15.085763462,219.030129843
82.2586238312,106.436281723
108.835404542,NA
70.638889199,87.5500894622
71.6021825893,NA
20.6594500114,34.5809066458
31.4325374348,66.1738113618
113.547939869,141.807464984
25.8203700233,37.5078644281
7.91825448469,83.0330439696
21.8039304265,24.7605457973
3.62014054712,13.2313245028
63.1396266419,NA
7.18843659166,197.922259869
0.242586641967,37.6278390604
1.63508518945,56.7747565852
4.23287932615,16.8591360698
22.6564288016,74.4455089734
25.1452267702,43.264384429
21.6114387924,42.8031144038
17.651822092,39.7176362552
167.349603896,274.091099058
20.7160294061,84.4202635944
122.580121712,284.378448555
41.9174245442,86.0731954344
43.5301243894,109.364937686
58.5963385455,66.3949453038
54.2453125129,83.9460595064
66.3483052628,97.6260826373
40.6332320196,55.2236461342
41.2929517236,56.2917140136
72.0256735917,74.2603762216
34.5288710977,60.0204914913
72.5042564123,74.8450160182
178.267112454,180.34760721
53.6714943388,139.270199351
9.11175215964,44.6001848777
24.9652326629,95.7511509992
94.7403870546,161.829831058
27.2960007741,52.5258850905
29.4125789953,51.0405507407
78.685044704,131.160525083
100.952821841,NA
41.8268433857,96.3910355045
18.3206190396,NA
67.5849224141,128.880393678
72.9838831186,79.2164132504
30.2905623981,106.309226298
114.800937839,124.290297401
1.70950484008,22.6567895265
3.41774552116,86.7080042107
14.9005267353,19.18416571
23.7251533553,72.330695329
76.9941793025,NA
43.7660980894,63.9859019448
63.2450643378,NA
15.8161174235,34.8123014744
16.4367712025,37.8981076704
36.0437112517,NA
4.98902093573,22.6523905215
154.336220127,NA
68.2370644043,74.4576249615
50.9250573996,196.303951414
40.3972001552,69.5569865888
0.0691434547091,20.683529442
27.7477499949,71.7426999346
32.2298824073,37.4607213945
41.6456560722,84.0274112455
75.3987170159,NA
117.109229979,153.824299647
11.4232247291,35.2125379571
1.69479201851,38.2896665162
143.535196694,176.654639501
41.8436064864,87.8065790007
85.7622950761,171.599372318
17.0325020186,60.4017126258
7.33211681004,22.1618954897
8.07259810448,392.858373826
21.209639405,58.7148585017
